得意先,県,期,我社販売量
明京商事株式会社,北海道,71期,794.28
明京商事株式会社,北海道,72期,558.58
明京商事株式会社,北海道,73期,207.58
明京商事株式会社,和歌山県,71期,14
明京商事株式会社,和歌山県,72期,10
明京商事株式会社,和歌山県,73期,6
網代商店,千葉県,71期,50.35
網代商店,千葉県,72期,45.29
網中産業(株),千葉県,71期,139.926
網中産業(株),千葉県,72期,106.87
網中産業(株),東京都,71期,70.27
網中産業(株),東京都,72期,50.56
野々山商事(株),愛知県,71期,6
野々山商事(株),愛知県,72期,3.07
野々山商事(株),愛知県,73期,3
薮崎産商(株),静岡県,71期,135.46
薮崎産商(株),静岡県,72期,26.04
有限会社 陶八,愛知県,71期,3.45
有限会社 陶八,愛知県,72期,3
有限会社 陶八,愛知県,73期,1.4
有限会社ｷﾏﾀ種苗ｾﾝﾀ-,岐阜県,71期,1.5
有限会社ｷﾏﾀ種苗ｾﾝﾀ-,岐阜県,72期,1.865
有限会社ｷﾏﾀ種苗ｾﾝﾀ-,岐阜県,73期,0.5
有限会社ホーフ,福井県,71期,1.075
有限会社ホーフ,福井県,72期,1.05
有限会社ホーフ,福井県,73期,0.585
有限会社栗原商店,埼玉県,71期,11.49
有限会社栗原商店,埼玉県,72期,5.18
有限会社栗原商店,埼玉県,73期,20
有限会社古田商店,愛知県,71期,3
有限会社古田商店,愛知県,72期,2
有限会社古田商店,愛知県,73期,2
有限会社黒沢商店,神奈川県,71期,48.64
有限会社黒沢商店,神奈川県,72期,34.9
有限会社黒沢商店,神奈川県,73期,16.22
有限会社大丸肥料店,熊本県,71期,0.048
有限会社大丸肥料店,熊本県,72期,0.024
有限会社大丸肥料店,熊本県,73期,0.024
有限会社大丸肥料店,福岡県,71期,10.512
有限会社大丸肥料店,福岡県,72期,10.4
有限会社大丸肥料店,福岡県,73期,5
有限会社大惣商店,愛知県,71期,14.1
有限会社但木米店,埼玉県,71期,6.18
有限会社但木米店,埼玉県,72期,5.68
有限会社梅十,愛知県,71期,30.12
有限会社梅十,愛知県,72期,16.008
有限会社梅十,愛知県,73期,11.2
有限会社畑肥料店,静岡県,71期,5
有限会社畑肥料店,静岡県,72期,5.2
有限会社畑肥料店,静岡県,73期,5.2
両備産業(株),岡山県,71期,65.2
両備産業(株),岡山県,72期,37.4
両備産業(株),岡山県,73期,9
緑研株式会社,愛知県,71期,85.19
緑研株式会社,愛知県,72期,58.02
緑研株式会社,愛知県,73期,10
緑研株式会社,岐阜県,71期,149.44
緑研株式会社,岐阜県,72期,125.52
緑研株式会社,岐阜県,73期,17.54
緑研株式会社,三重県,71期,3
緑研株式会社,三重県,72期,2
鈴木産業(株),千葉県,71期,13.81
鈴木産業(株),千葉県,72期,14.01
鈴木産業(株),千葉県,73期,8.12
櫻井商事株式会社,千葉県,71期,41.2
櫻井商事株式会社,千葉県,72期,34.69
櫻井商事株式会社,千葉県,73期,22.06
